City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
246,Itarema,BR,78.91,broken clouds,-2.9248,-39.9167,"Sea Lounge! Bar, Club & Restaurant"
248,Mastic Beach,US,79.77,broken clouds,40.7668,-72.8521,Brushwood House by Smith Point Beach
250,Zhezkazgan,KZ,84.18,clear sky,47.8043,67.7144,Hotel Zumrat
253,Manoharpur,IN,87.39,broken clouds,27.3,75.95,कैथल हरियाणा होटल
256,Maunabo,PR,80.71,few clouds,18.0072,-65.8993,Parador Maunacaribe
257,Kot Diji,PK,82.42,overcast clouds,27.3427,68.7083,"Heritage Park, Restaurant & Guesthouse Kotdiji"
260,Walla Walla,US,78.53,few clouds,46.0646,-118.343,"Holiday Inn Express Walla Walla, an IHG Hotel"
267,Gazanjyk,TM,84.04,light rain,39.2446,55.5154,Railway motel
268,Gudalur,IN,83.73,overcast clouds,9.6833,77.2667,Hotel Lemurian Heritage
271,Vilyuysk,RU,81.52,broken clouds,63.7553,121.6247,Gostinitsa Viliuisk
274,Kieta,PG,84.78,light rain,-6.2167,155.6333,Uruna Bay Retreat
279,Quartucciu,IT,78.01,clear sky,39.2519,9.1794,Best Western Hotel Residence Italia
280,Dicabisagan,PH,89.26,overcast clouds,17.0818,122.4157,Nancy Montanes Bernardo
282,Nouadhibou,MR,76.98,broken clouds,20.931,-17.0347,El Medina
283,Niono,ML,76.86,light rain,14.2526,-5.993,Hôtel Campement
290,Bacolod,PH,85.28,overcast clouds,10.6667,122.95,Planta Hotel & Residences
292,Mount Isa,AU,85.77,clear sky,-20.7333,139.5,ibis Styles Mt Isa Verona
295,Mayo,US,86.41,clear sky,38.8876,-76.5119,Resorts Resource Group International
297,Kanniyakumari,IN,84.49,broken clouds,8.0833,77.5667,Sparsa Kanyakumari
299,Gilgit,PK,86.47,broken clouds,35.9221,74.3087,Tourist Hamlet Gilgit
303,Jining,CN,88.39,broken clouds,35.405,116.5814,Yunhe Star Hotel
307,Reggio Di Calabria,IT,79.75,clear sky,38.1105,15.6613,Hotel Continental
308,Itoman,JP,89.98,broken clouds,26.1247,127.6694,Southern Beach Hotel & Resort Okinawa
