City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
200,Berlevag,NO,2022-07-25 04:52:35,70.8578,29.0864,53.55,71,40,6.91,scattered clouds
201,Mount Gambier,AU,2022-07-25 04:52:35,-37.8333,140.7667,55.31,94,75,18.41,light intensity shower rain
202,Benjamin Constant,BR,2022-07-25 04:52:36,-4.3831,-70.0311,71.73,99,100,0.51,overcast clouds
203,Hambantota,LK,2022-07-25 04:52:15,6.1241,81.1185,86.34,74,75,6.91,broken clouds
204,Puerto Suarez,BO,2022-07-25 04:52:36,-18.95,-57.8,72.18,44,0,2.68,clear sky
205,Nagato,JP,2022-07-25 04:52:37,34.3833,131.2,81.12,85,53,6.78,broken clouds
206,Rincon,US,2022-07-25 04:50:25,32.296,-81.2354,81.86,78,75,0.0,broken clouds
207,Karratha,AU,2022-07-25 04:52:38,-20.7377,116.8463,76.66,31,0,19.82,clear sky
208,Skegness,GB,2022-07-25 04:52:38,53.1436,0.3363,66.34,84,84,18.79,broken clouds
209,Manali,IN,2022-07-25 04:52:38,13.1667,80.2667,90.07,71,91,6.33,overcast clouds
210,Havoysund,NO,2022-07-25 04:52:39,70.9963,24.6622,52.03,76,80,7.27,broken clouds
211,Pisco,PE,2022-07-25 04:52:39,-13.7,-76.2167,57.25,88,47,2.3,mist
212,Isangel,VU,2022-07-25 04:52:40,-19.55,169.2667,79.23,77,12,2.82,few clouds
213,Srednekolymsk,RU,2022-07-25 04:52:40,67.45,153.6833,72.14,28,100,13.65,overcast clouds
214,Douglas,US,2022-07-25 04:52:41,41.3,-96.167,74.5,67,0,3.44,clear sky
215,Montepuez,MZ,2022-07-25 04:52:41,-13.1256,38.9997,63.91,87,21,6.42,few clouds
216,Nobeoka,JP,2022-07-25 04:52:42,32.5833,131.6667,83.97,81,86,5.32,overcast clouds
217,Syumsi,RU,2022-07-25 04:52:42,57.1111,51.6149,73.96,80,20,1.19,moderate rain
218,Bocas Del Toro,PA,2022-07-25 04:52:43,9.3333,-82.25,78.66,75,60,2.86,broken clouds
219,Vostok,RU,2022-07-25 04:52:43,46.4856,135.8833,68.67,89,94,3.49,overcast clouds
220,Tromso,NO,2022-07-25 04:48:36,69.6496,18.957,51.82,76,0,5.75,clear sky
221,Gagra,GE,2022-07-25 04:52:44,43.3283,40.2239,67.14,73,33,6.93,scattered clouds
222,Batagay-Alyta,RU,2022-07-25 04:52:44,67.8006,130.4114,73.4,44,29,5.7,scattered clouds
223,Ramshir,IR,2022-07-25 04:52:45,30.8946,49.4092,102.06,8,1,10.04,clear sky
224,Fort Nelson,CA,2022-07-25 04:52:45,58.8053,-122.7002,67.59,52,75,2.3,broken clouds
225,Wau,SS,2022-07-25 04:52:46,7.7029,27.9953,71.62,96,100,3.87,overcast clouds
226,Puerto Baquerizo Moreno,EC,2022-07-25 04:52:46,-0.9,-89.6,69.35,80,92,11.88,overcast clouds
227,Hastings,GB,2022-07-25 04:52:47,50.8552,0.5729,65.95,85,87,17.16,overcast clouds
228,Bac Lieu,VN,2022-07-25 04:52:47,9.285,105.7244,86.29,68,90,10.02,overcast clouds
229,Vila,PT,2022-07-25 04:52:48,42.0304,-8.1588,50.88,91,16,3.4,few clouds
230,Lerwick,GB,2022-07-25 04:52:48,60.1545,-1.1494,53.6,89,100,19.69,overcast clouds
231,Kargasok,RU,2022-07-25 04:52:48,59.0556,80.8572,55.8,91,100,9.78,overcast clouds
232,Labuan,MY,2022-07-25 04:52:49,5.2767,115.2417,79.16,94,20,2.3,few clouds
233,Hamilton,US,2022-07-25 04:52:27,39.1834,-84.5333,79.57,88,0,9.22,clear sky
234,Naze,JP,2022-07-25 04:53:50,28.3667,129.4833,85.12,77,29,2.15,scattered clouds
235,Viedma,AR,2022-07-25 04:53:51,-40.8135,-62.9967,45.77,74,100,11.68,overcast clouds
236,Yulara,AU,2022-07-25 04:53:52,-25.2406,130.9889,66.16,34,0,9.24,clear sky
237,Pacific Grove,US,2022-07-25 04:51:22,36.6177,-121.9166,57.31,90,100,5.75,overcast clouds
238,Yongzhou,CN,2022-07-25 04:53:52,26.4559,111.5988,99.57,39,1,11.18,clear sky
239,Yar-Sale,RU,2022-07-25 04:45:47,66.8333,70.8333,54.95,65,96,14.18,overcast clouds
240,Saint Anthony,US,2022-07-25 04:52:55,45.0205,-93.218,69.42,66,0,10.36,clear sky
241,Tairua,NZ,2022-07-25 04:53:53,-37.0167,175.85,58.08,95,100,25.23,light rain
242,Sept-Iles,CA,2022-07-25 04:52:14,50.2001,-66.3821,63.12,94,100,13.8,moderate rain
243,Fairbanks,US,2022-07-25 04:53:54,64.8378,-147.7164,73.74,40,0,1.01,clear sky
244,Villa Maria,AR,2022-07-25 04:44:22,-32.4075,-63.2402,60.82,99,58,4.68,broken clouds
245,Ati,TD,2022-07-25 04:53:55,13.2154,18.3353,83.03,61,72,11.48,broken clouds
246,Itarema,BR,2022-07-25 04:53:55,-2.9248,-39.9167,78.91,80,84,16.67,broken clouds
247,Akdepe,TM,2022-07-25 04:53:56,42.0551,59.3788,82.49,22,100,10.98,overcast clouds
248,Mastic Beach,US,2022-07-25 04:53:57,40.7668,-72.8521,79.77,92,80,25.99,broken clouds
249,Moose Factory,CA,2022-07-25 04:53:57,51.2585,-80.6094,57.2,82,100,4.61,overcast clouds
250,Zhezkazgan,KZ,2022-07-25 04:53:58,47.8043,67.7144,84.18,17,0,15.66,clear sky
251,Sitka,US,2022-07-25 04:45:40,57.0531,-135.33,55.29,94,100,0.0,light intensity drizzle
252,Dongying,CN,2022-07-25 04:53:58,37.4564,118.4856,92.39,45,59,11.21,broken clouds
253,Manoharpur,IN,2022-07-25 04:53:59,27.3,75.95,87.39,62,52,14.74,broken clouds
254,Pevek,RU,2022-07-25 04:54:00,69.7008,170.3133,37.35,85,97,6.04,overcast clouds
255,Chicama,PE,2022-07-25 04:54:00,-7.8447,-79.1469,59.54,88,100,5.19,overcast clouds
256,Maunabo,PR,2022-07-25 04:54:01,18.0072,-65.8993,80.71,86,15,11.36,few clouds
257,Kot Diji,PK,2022-07-25 04:54:01,27.3427,68.7083,82.42,71,98,14.09,overcast clouds
258,Kedougou,SN,2022-07-25 04:54:01,12.5579,-12.1743,73.18,97,100,2.39,overcast clouds
259,Pasaje,EC,2022-07-25 04:54:02,-3.3333,-79.8167,69.94,95,48,0.18,light rain
